customer_id,product_id,basket_id,loyalty,household_type,age_band,department,brand,commodity,store,transaction_date,price,days_since_first
15803,1131974,57266,Loyalist,"1 adult with kids",19-24,Grocery,private,"Baked bread/buns/rolls",374,"2018-10-18 00:00:00",0.99,0
15803,1051516,57266,Loyalist,"1 adult with kids",19-24,Produce,national,"Vegetables - all others",374,"2018-10-18 00:00:00",0.7,0
15803,967254,57266,Loyalist,"1 adult with kids",19-24,Pharmaceutical,national,"Cold and flu",374,"2018-10-18 00:00:00",1.68,0
15803,1134222,57266,Loyalist,"1 adult with kids",19-24,Grocery,private,"Paper housewares",374,"2018-10-18 00:00:00",2.59,0
15803,1003421,57266,Loyalist,"1 adult with kids",19-24,Grocery,national,Soup,374,"2018-10-18 00:00:00",0.6,0
15803,937791,57266,Loyalist,"1 adult with kids",19-24,Grocery,national,"Frozen pizza",374,"2018-10-18 00:00:00",2.25,0
15803,1082185,57266,Loyalist,"1 adult with kids",19-24,Produce,national,"Tropical fruit",374,"2018-10-18 00:00:00",1.07,0
15803,940947,57266,Loyalist,"1 adult with kids",19-24,Meat,national,Heat/serve,374,"2018-10-18 00:00:00",5,0
15803,1056010,57266,Loyalist,"1 adult with kids",19-24,Nutrition,national,"Prepared food",374,"2018-10-18 00:00:00",3,0
15803,845307,57266,Loyalist,"1 adult with kids",19-24,Deli,national,"Deli meats",374,"2018-10-18 00:00:00",3.17,0
15803,1082185,57266,Loyalist,"1 adult with kids",19-24,Produce,national,"Tropical fruit",374,"2018-10-18 00:00:00",0.38,0
15803,1055504,57266,Loyalist,"1 adult with kids",19-24,Produce,national,Apples,374,"2018-10-18 00:00:00",3.28,0
15803,969941,57266,Loyalist,"1 adult with kids",19-24,Meat,national,"Hot dogs",374,"2018-10-18 00:00:00",1.98,0
15803,1127831,57266,Loyalist,"1 adult with kids",19-24,Produce,national,Berries,374,"2018-10-18 00:00:00",5,0
15803,871909,57266,Loyalist,"1 adult with kids",19-24,Meat,national,"Lunch meat",374,"2018-10-18 00:00:00",1.99,0
15803,987311,57266,Loyalist,"1 adult with kids",19-24,Seafood,national,Seafood-frozen,374,"2018-10-18 00:00:00",2.5,0
15803,1021519,57266,Loyalist,"1 adult with kids",19-24,Meat,national,Beef,374,"2018-10-18 00:00:00",2.54,0
15803,1002850,57266,Loyalist,"1 adult with kids",19-24,Meat,national,"Breakfast sausage/sandwiches",374,"2018-10-18 00:00:00",3.79,0
15803,835098,57266,Loyalist,"1 adult with kids",19-24,Produce,private,Potatoes,374,"2018-10-18 00:00:00",3.99,0
